menu_item_id,name,description,protein,calories,image_url,is_new,organic_percentage,category,sku_type,tags,id,created_date,updated_date,created_by_id,created_by,is_sample
"566","Creamy Garlic Tuscan Salmon","with lemon and herb crushed potatoes and green beans","31.8","629","https://cloudfront.frive.co.uk/media/7157/opt_upload.png","false","11","meals","Fish","","69862e0ffb6fe137d35751e0","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"570","Coconut & Lime Leaf King Prawns","with rice and stir-fried vegetables","39.3","631","https://cloudfront.frive.co.uk/media/7159/opt_upload.png","false","13","meals","Fish","","69862e0ffb6fe137d35751e1","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"632","Thai-Style King Prawns With Noodles & Tom Yum-Inspired Sauce","With Noodles, Roasted Peppers & Cherry Tomatoes","28.6","540","https://cloudfront.frive.co.uk/media/7160/opt_upload.png","false","4","meals","Fish","","69862e0ffb6fe137d35751e2","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"646","Tom Yum Sweet Potato & Chickpea Curry","with pad Thai noodles, roasted peppers and tomatoes","10.8","508","https://cloudfront.frive.co.uk/media/7161/opt_upload.png","false","7","meals","Vegan","","69862e0ffb6fe137d35751e3","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"651","Sweet Chilli Tofu Bites","with sticky rice and edamame beans","13.5","310","https://cloudfront.frive.co.uk/media/7163/opt_upload.png","false","13","add-ons","Vegan","","69862e0ffb6fe137d35751e4","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"652","Saffron & Paprika Baked Bass","with stewed fennel, garbanzo beans and peppers","34.6","584","https://cloudfront.frive.co.uk/media/7164/opt_upload.png","false","9","meals","Fish","","69862e0ffb6fe137d35751e5","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"655","Massaman King Prawns","with rice, peanuts and Thai basil carrots","29.5","512","https://cloudfront.frive.co.uk/media/6730/opt_upload.png","false","7","meals","Fish","","69862e0ffb6fe137d35751e6","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"665","Satay Chicken","with rice and peppers","56.8","586","https://cloudfront.frive.co.uk/media/7673/opt_LP-REC-745-Satay_Chicken_Balanced.png","false","8","meals","Meat","","69862e0ffb6fe137d35751e7","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"668","Satay Tofu","with rice and peppers","29.1","541","https://cloudfront.frive.co.uk/media/7681/opt_LP-REC-751-Satay_Tofu_Balanced.png","false","13","meals","Vegan","","69862e0ffb6fe137d35751e8","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
"672","Massaman Sweet Potato Curry","with rice and Thai basil carrots","12.5","545","https://cloudfront.frive.co.uk/media/6734/opt_upload.png","false","10","meals","Vegan","","69862e0ffb6fe137d35751e9","2026-02-06T18:08:15.849000","2026-02-06T18:08:15.849000","6981e6e79a5edfa27e248c07","adamhorne008@yahoo.co.uk","false"
